category,total_orders,unique_products,total_revenue,avg_price,pct_of_total_revenue
health_beauty,8836,2444,1258681.34,130.16,9.26
watches_gifts,5624,1329,1205005.68,201.14,8.87
bed_bath_table,9417,3029,1036988.68,93.30,7.63
sports_leisure,7720,2867,988048.97,114.34,7.27
computers_accessories,6689,1639,911954.32,116.51,6.71
furniture_decor,6449,2657,729762.49,87.56,5.37
cool_stuff,3632,789,635290.85,167.36,4.67
housewares,5884,2335,632248.66,90.79,4.65
auto,3897,1900,592720.11,139.96,4.36
garden_tools,3518,753,485256.46,111.63,3.57
toys,3886,1411,483946.60,117.55,3.56
baby,2885,919,411764.89,134.34,3.03
perfumery,3162,868,399124.87,116.74,2.94
telephony,4199,1134,323667.53,71.21,2.38
office_furniture,1273,309,273960.70,162.01,2.02
