month,total_deliveries,on_time_count,on_time_percentage,avg_actual_days,avg_estimated_days,avg_review_score
2016-09-01,1,0,0.00,54.81,18.49,1.00
2016-10-01,272,269,98.90,19.56,55.66,3.98
2016-12-01,1,1,100.00,4.69,26.03,5.00
2017-01-01,757,734,96.96,12.64,39.55,4.21
2017-02-01,1661,1608,96.81,13.15,31.85,4.20
2017-03-01,2561,2419,94.46,12.94,24.74,4.18
2017-04-01,2309,2127,92.12,14.91,27.36,4.14
2017-05-01,3581,3453,96.43,11.33,24.31,4.24
2017-06-01,3166,3044,96.15,12.00,24.03,4.22
2017-07-01,3912,3776,96.52,11.59,23.30,4.25
2017-08-01,4235,4094,96.67,11.17,23.51,4.31
2017-09-01,4176,3960,94.83,11.84,22.44,4.27
2017-10-01,4506,4269,94.74,11.86,23.05,4.21
2017-11-01,7340,6291,85.71,15.15,22.57,3.99
2017-12-01,5539,5075,91.62,15.40,27.69,4.09
2018-01-01,7109,6643,93.44,14.09,26.32,4.11
2018-02-01,6640,5578,84.01,16.96,24.54,3.88
2018-03-01,7041,5538,78.65,16.30,22.04,3.81
2018-04-01,6809,6447,94.68,11.50,23.68,4.21
2018-05-01,6757,6201,91.77,11.41,22.88,4.24
2018-06-01,6102,6019,98.64,9.24,27.77,4.31
2018-07-01,6177,5901,95.53,8.96,19.69,4.32
2018-08-01,6353,5692,89.60,7.73,15.18,4.31
